State - County,beta,gamma,gamma2,a2
SD-Minnehaha,"6.219, (5.96, 7.024)","0.04, (0.04, 0.043)","0.046, (0.04, 0.046)","0.01, (0.01, 0.017)"
TN-Davidson,"4.654, (3.91, 12.085)","0.04, (0.04, 0.089)","0.04, (0.04, 0.2)","0.018, (0.01, 0.027)"
TN-Shelby,"7.759, (4.329, 58.968)","0.04, (0.04, 0.2)","0.045, (0.04, 0.2)","0.01, (0.01, 0.062)"
TX-Bexar,"98.744, (6.408, 98.847)","0.04, (0.04, 0.177)","0.04, (0.04, 0.2)","0.01, (0.01, 0.023)"
TX-Cameron,"6.213, (4.254, 17.823)","0.04, (0.04, 0.159)","0.098, (0.04, 0.2)","0.102, (0.01, 0.199)"
TX-Dallas,"7.575, (3.933, 63.72)","0.157, (0.04, 0.2)","0.106, (0.04, 0.2)","0.032, (0.01, 0.109)"
TX-El Paso,"5.728, (4.431, 12.207)","0.135, (0.04, 0.146)","0.04, (0.04, 0.153)","0.01, (0.01, 0.045)"
TX-Fort Bend,"7.304, (5.149, 19.341)","0.079, (0.04, 0.19)","0.198, (0.04, 0.2)","0.048, (0.01, 0.087)"
TX-Harris,"7.202, (3.995, 100.0)","0.144, (0.04, 0.2)","0.09, (0.04, 0.2)","0.029, (0.01, 0.109)"
TX-Hidalgo,"15.934, (5.18, 33.956)","0.075, (0.04, 0.2)","0.149, (0.04, 0.2)","0.012, (0.01, 0.2)"
TX-Nueces,"17.763, (5.232, 23.875)","0.14, (0.04, 0.2)","0.053, (0.04, 0.2)","0.01, (0.01, 0.04)"
TX-Tarrant,"6.563, (6.287, 46.861)","0.04, (0.04, 0.2)","0.04, (0.04, 0.2)","0.024, (0.01, 0.049)"
TX-Travis,"16.41, (6.206, 48.63)","0.04, (0.04, 0.086)","0.04, (0.04, 0.131)","0.04, (0.01, 0.045)"
UT-Salt Lake,"5.818, (5.228, 28.358)","0.04, (0.04, 0.096)","0.065, (0.04, 0.2)","0.01, (0.01, 0.039)"
VA-Fairfax,"5.324, (5.24, 7.123)","0.04, (0.04, 0.065)","0.05, (0.04, 0.067)","0.045, (0.012, 0.051)"
VA-Prince William,"4.858, (4.804, 5.168)","0.04, (0.04, 0.042)","0.04, (0.04, 0.042)","0.024, (0.01, 0.024)"
WA-King,"26.476, (13.063, 100.0)","0.04, (0.04, 0.072)","0.04, (0.04, 0.054)","0.091, (0.01, 0.099)"
WA-Snohomish,"9.748, (8.178, 48.074)","0.04, (0.04, 0.045)","0.04, (0.04, 0.043)","0.06, (0.024, 0.062)"
WI-Milwaukee,"5.567, (4.329, 100.0)","0.04, (0.04, 0.15)","0.04, (0.04, 0.2)","0.045, (0.01, 0.071)"
