county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NV-Clark,7139,10522,10198,11085,11784,12446,10500,9242,10042,11383,11336,12229,12659,9501,10921,9785,10736,10563,10488,11870,9064,8754,9752,10347,10426,11323,11709,9333,9531,10277,10583
NV-Clark,7131,789,732,802,1095,1424,1192,1029,697,758,873,1283,1642,1105,673,736,767,770,1030,1354,990,669,737,753,884,1373,1704,1533,677,744,770
NV-Clark,8131,989,974,1022,948,1010,1469,580,892,1002,973,882,977,1605,811,840,1040,923,881,973,1638,782,945,1087,971,935,989,1632,799,905,1042
NV-Clark,8121,1582,1509,1708,1832,1746,1461,1159,1505,1546,1714,1836,1606,1129,1397,1385,1590,1549,1547,1469,1152,1224,1479,1530,1611,1782,1602,1240,1431,1489,1553
NC-Mecklenburg,7211,3607,3880,5357,5709,5651,4434,4297,4216,4636,4794,5109,5204,4284,4504,3795,4532,4765,4743,5043,4452,4113,3825,4713,5030,5295,5300,4936,4749,4438,4559
NC-Mecklenburg,7224,1273,1347,1394,1702,1912,1323,960,1133,1295,1356,1673,1901,1189,1166,1224,1393,1153,1605,1909,1165,1009,1180,1422,1412,1684,1926,1322,1315,1187,1439
NC-Mecklenburg,7225,20756,21486,22724,26985,25846,19249,16872,20676,21359,22307,26664,26404,18593,19653,20181,21606,19238,24693,25791,16956,16652,19481,22062,22120,25677,26704,19300,20724,19955,22110
NC-Mecklenburg,7139,5517,5388,5648,5748,5153,4227,3976,5576,5686,5957,6181,5758,4158,5560,5734,6320,5045,5778,6102,4179,4744,5569,6115,5888,5812,6175,4429,5871,5857,6237
NC-Mecklenburg,7131,136,113,144,189,296,222,167,133,140,163,221,320,193,137,108,148,108,178,320,184,119,94,146,128,169,339,176,133,114,145
NC-Mecklenburg,8131,1341,1500,1398,1250,959,1760,632,1371,1694,1418,1363,1100,2150,1381,1292,1572,1228,1155,1142,2061,1168,1408,1633,1434,1321,1129,2384,1355,1387,1642
NC-Mecklenburg,8121,779,751,774,768,569,393,357,791,778,837,781,586,391,702,767,833,773,779,596,313,615,803,881,834,777,653,399,703,745,870
LA-Jefferson,7211,1205,1326,1810,1705,1236,1250,1333,1394,1302,1387,1348,1143,1173,1231,726,1126,1348,1263,1180,1166,1239,1171,1368,1534,1475,1199,1236,1446,1263,1275
LA-Jefferson,7224,514,510,576,652,587,412,326,482,496,570,754,576,418,487,340,541,501,663,567,296,446,440,540,590,764,678,456,465,522,561
LA-Jefferson,7225,10377,10533,11722,13489,12112,9001,7972,9693,10346,10726,13033,12263,8164,8924,6854,10109,10734,12100,11558,7442,7718,9375,10647,11397,14083,12596,9321,9513,10355,10841
LA-Jefferson,7139,2252,2285,2275,2117,1891,1487,1292,2108,2387,2346,2256,1882,1162,1637,1289,2260,2323,1982,1802,1177,1746,2160,2413,2405,2437,2161,1492,2322,2429,2484
LA-Jefferson,7131,40,55,69,36,19,12,16,67,59,62,53,25,18,54,46,64,76,44,23,19,44,52,82,51,40,20,11,65,31,40
LA-Jefferson,8131,802,751,778,777,719,960,510,728,822,764,834,768,1078,641,481,794,694,675,656,1005,640,703,792,767,912,718,1109,717,705,820
LA-Jefferson,8121,309,340,324,329,318,161,197,315,323,363,335,283,186,250,218,323,332,289,245,155,205,263,307,342,337,296,170,251,300,368
CA-Riverside,7211,1850,1671,1947,2512,3259,3036,1894,1775,1789,1843,2461,2934,2044,1691,1574,1796,1810,2274,2801,1917,1642,1864,1892,1920,2450,3075,2148,1807,1591,1673
CA-Riverside,7224,748,685,717,944,835,753,540,635,627,736,971,1087,667,601,647,710,710,968,1021,792,512,660,727,779,1174,1161,929,594,690,819
CA-Riverside,7225,30100,30349,32343,37420,34301,28921,28420,28717,29843,30688,36714,36877,30357,27293,27735,29799,29522,33794,34413,28067,23644,27888,30402,31875,38445,38477,33381,28816,29299,31158
CA-Riverside,7139,9184,8693,9623,10267,9227,7618,6708,8762,9564,9630,10190,9483,7470,8574,8235,9124,9149,8919,8961,7141,7461,8441,9231,9638,10307,9583,8055,9251,8855,9053
CA-Riverside,7131,342,338,347,268,199,189,147,293,324,303,303,303,220,295,315,347,279,262,264,228,237,308,337,355,309,328,238,296,321,335
CA-Riverside,8131,1312,1317,1204,1192,1048,1626,690,1118,1512,1286,1216,1148,1697,977,1027,1326,1119,1045,1209,1805,967,1066,1358,1155,1177,1124,2118,996,977,1185
CA-Riverside,8121,708,704,771,751,614,501,405,658,680,785,798,663,524,611,674,715,718,670,641,440,573,715,756,759,749,703,452,670,620,697
FL-Broward,7211,2670,2882,3047,4167,6020,5506,3466,2603,2665,2766,3417,3426,2807,2650,2487,2841,2993,3334,4327,3112,2280,2627,2905,2905,3558,4279,3849,2828,2701,2807
FL-Broward,7224,1480,1526,1689,2193,2604,2327,1546,1414,1487,1636,2207,2006,1646,1362,1392,1681,1678,1895,2365,1679,1143,1353,1714,1652,2138,2484,1976,1550,1632,1663
FL-Broward,7225,27978,28589,31163,36746,37580,30079,26406,26352,27991,29789,36480,34297,26766,25765,24881,28757,28940,31454,34815,25191,21015,25784,30054,29026,36306,36327,29667,27414,27829,29421
FL-Broward,7139,10821,10874,11662,11714,10864,8364,8271,10222,11095,11531,12007,10181,8033,10491,10065,11282,11203,9873,10105,7270,8141,10447,11700,10982,11895,11059,8880,10336,11041,11113
FL-Broward,7131,143,170,184,197,267,204,187,163,169,182,193,226,162,153,120,185,166,170,264,213,109,175,181,183,198,247,242,157,182,146
FL-Broward,8131,1189,1350,1317,1313,1214,1535,792,1100,1484,1506,1393,1090,1625,1174,1015,1517,1296,1212,1270,1630,868,1168,1471,1265,1319,1188,1869,1040,1187,1434
FL-Broward,8121,1278,1316,1356,1314,1400,1090,1021,1366,1347,1371,1470,1298,930,1210,1150,1269,1322,1138,1295,955,1046,1253,1413,1348,1375,1302,1114,1222,1179,1384
NJ-Hudson,7211,532,404,499,600,667,469,382,430,414,414,541,536,394,411,397,448,444,480,521,413,354,396,402,453,519,622,467,409,446,401
NJ-Hudson,7224,676,615,645,741,752,574,525,685,672,623,828,894,616,633,593,635,678,751,779,598,508,663,613,688,841,865,691,591,570,671
NJ-Hudson,7225,11391,11051,11689,13201,12144,9916,9178,11202,11401,10976,13165,13349,10129,10272,10309,10894,10746,11502,11958,9464,8929,10610,11096,11249,13009,13019,10454,10215,9856,10774
NJ-Hudson,7139,1692,1626,1729,1784,1632,1349,1184,1755,1759,1684,1861,1894,1507,1647,1562,1781,1785,1626,1706,1435,1404,1624,1753,1631,1929,1795,1545,1617,1522,1838
NJ-Hudson,7131,104,102,195,197,210,145,108,104,202,121,138,156,110,97,103,104,115,119,149,107,96,94,118,132,137,165,126,131,89,101
NJ-Hudson,8131,610,615,671,670,683,715,590,702,651,626,664,664,668,616,900,1003,1114,1065,1156,1116,443,524,512,515,604,541,568,435,599,572
NJ-Hudson,8121,255,233,268,257,256,198,203,242,245,243,255,251,220,222,229,217,235,251,232,211,201,240,242,251,280,242,242,214,208,218
MA-Middlesex,7211,1001,860,940,1063,1290,1001,725,843,823,908,954,998,689,776,752,812,815,853,960,716,698,760,900,917,1035,1234,867,849,864,881
MA-Middlesex,7224,674,599,708,859,771,584,499,583,605,621,805,809,512,515,607,681,664,689,753,489,444,519,613,706,875,825,567,547,552,536
MA-Middlesex,7225,15756,14864,16571,17996,15552,12478,11936,14847,15657,15727,18290,17663,13062,14463,14053,15080,15169,15706,16209,12015,11398,13177,15124,15518,18141,17514,13406,13140,14165,14602
MA-Middlesex,7139,7705,6255,7647,6824,5252,4476,4825,7070,7546,7333,7452,7021,5898,7321,6747,7346,7510,6654,6773,5829,6156,7018,7826,7989,7795,7391,6501,7238,7468,7092
MA-Middlesex,7131,121,116,128,137,103,98,75,127,123,128,145,157,109,121,104,111,124,137,127,120,90,97,145,121,136,150,107,109,106,105
MA-Middlesex,8131,731,562,652,703,567,671,462,622,620,653,726,687,855,679,598,655,671,637,572,788,505,627,691,689,757,646,880,630,598,583
MA-Middlesex,8121,728,638,691,712,529,399,380,601,638,658,624,592,445,596,530,561,621,532,515,368,488,534,585,614,547,518,452,499,522,584
OH-Franklin,7211,1865,1789,1854,2215,2833,2178,1490,1737,1888,1803,1954,2339,1427,1632,1640,1861,1634,1789,2388,1421,1507,1607,1836,1840,2195,2668,1581,1680,1703,1754
OH-Franklin,7224,1380,1453,1556,2040,2151,1434,963,1311,1433,1471,2028,2168,1350,1253,1325,1582,1488,1851,2389,1326,1162,1324,1566,1549,2184,2453,1531,1242,1332,1457
OH-Franklin,7225,24436,24927,26796,31274,29703,23245,19547,23190,25010,25359,29592,31123,22195,22327,21723,24934,24821,27381,29906,21440,19561,22366,25458,25644,30867,30931,23282,21371,23821,25380
OH-Franklin,7139,6053,5794,6160,5981,5467,4455,3933,5533,6053,6069,5860,6219,4680,5356,5139,5972,5842,5171,5662,4463,4930,5540,6099,6374,6048,6224,5138,5359,5703,5751
OH-Franklin,7131,133,103,111,153,172,106,118,126,98,125,131,185,111,132,110,128,147,164,181,134,119,137,129,139,168,168,150,106,109,130
OH-Franklin,8131,1629,1741,1710,1768,1429,2142,1073,1689,1929,1777,1735,1748,2192,1470,1506,1848,1572,1357,1493,2233,1394,1792,1856,1675,1728,1792,2593,1510,1634,1723
OH-Franklin,8121,624,578,671,656,514,292,325,631,660,661,600,559,309,596,575,625,614,534,493,302,494,558,607,676,622,511,330,575,606,631
VA-Fairfax,7211,799,798,936,899,1076,949,715,778,822,849,894,964,690,783,799,922,823,921,1133,768,754,836,905,881,1116,1176,849,893,823,876
VA-Fairfax,7224,319,359,371,454,538,374,287,310,307,294,474,503,352,282,266,345,318,436,596,402,248,311,358,342,509,528,391,311,294,317
VA-Fairfax,7225,12814,12907,13518,15645,14994,11861,11386,11868,12186,11893,14728,15668,11744,12125,11076,12502,11887,13832,15027,10889,10485,11666,13041,12528,14802,15407,11900,12072,11600,12732
VA-Fairfax,7139,2831,3010,2884,3202,2753,2359,2230,2851,2890,2852,3035,3112,2472,2980,2755,3139,2798,2819,2918,2273,2587,2905,3282,2993,3144,3009,2675,2994,2848,3009
VA-Fairfax,7131,20,12,12,16,19,28,23,25,16,15,25,21,33,14,17,20,22,16,33,36,25,22,27,24,14,25,34,22,21,14
VA-Fairfax,8131,433,441,443,538,431,719,282,445,456,435,526,524,800,459,405,508,428,445,470,760,414,428,484,474,484,509,889,419,409,467
VA-Fairfax,8121,421,410,402,468,459,334,333,393,463,401,466,436,345,391,358,380,398,385,433,312,350,390,421,436,453,532,390,383,380,419
TN-Shelby,7211,1415,1350,1529,1893,2368,1787,1064,1303,1396,1434,1840,2067,1214,1403,1438,1529,1489,1735,2176,1260,1357,1448,1511,1515,2106,2618,1306,1314,1346,1410
TN-Shelby,7224,566,597,680,877,1246,902,473,548,631,711,950,922,638,572,613,649,680,932,1175,618,501,574,625,730,1051,1208,747,571,587,706
TN-Shelby,7225,19022,19244,20952,24427,23245,16929,14089,17168,18778,19944,23849,22764,15904,17329,17812,19489,19703,22470,22920,14881,15099,17762,18395,19405,24293,23849,17205,16884,18292,19868
TN-Shelby,7139,4001,3763,3883,4034,3554,2644,2598,3703,4013,3768,3948,3704,2665,3633,3568,3811,3895,3646,3819,2603,3242,3854,3509,3781,4146,4205,2818,3533,3828,3962
TN-Shelby,7131,71,88,93,83,117,93,53,62,68,77,79,112,53,40,66,69,92,88,116,64,46,68,51,70,83,113,61,40,87,66
TN-Shelby,8131,2049,2125,2071,1839,1822,2844,1329,1835,2385,1920,1920,1762,2841,1750,1633,2141,1852,1545,1738,2969,1531,1729,2192,1817,1762,1925,3398,1582,1752,2168
TN-Shelby,8121,585,580,611,617,451,272,257,486,567,609,606,512,273,452,526,577,556,544,445,253,369,454,518,582,633,440,253,395,536,569
WI-Milwaukee,7211,775,815,891,1057,1181,865,539,685,731,748,964,1086,641,649,651,778,711,802,1052,579,623,732,785,780,1051,1182,709,652,707,746
WI-Milwaukee,7224,1708,1754,2096,2511,2569,1900,1221,1453,1631,1693,2083,2046,1652,1370,1463,1822,1700,1877,2226,1554,1269,1544,1646,1659,2083,2315,1508,1335,1390,1608
